Jun 01 04:03:02 pbc805673 chassis-server[600]: 012: setTargets(busB, 48.96A, 830.00V, 880.00V-max
Jun 01 04:03:05 pbc805673 chassis-server[600]: power: maxPower 200.00kW, availablePower 195.00kW, idlePower 0.00kW
Jun 01 04:03:05 pbc805673 chassis-server[600]: busA: allocatedPms 0, healthyPms 0, allocatedPower 0.00kW, availableCurrent 0.00A
Jun 01 04:03:05 pbc805673 chassis-server[600]: busB: allocatedPms 5, healthyPms 5, allocatedPower 195.00kW, availableCurrent 243.44A
Jun 01 04:03:05 pbc805673 pdserver[982]: bus[busB] available current 243.4375762939453A
Jun 01 04:03:05 pbc805673 pdserver[982]: bus[busB] available power 195kW
Jun 01 04:03:05 pbc805673 chassis-server[600]: 016: setTargets(busB, 45.76A, 830.00V, 880.00V-max
Jun 01 04:03:05 pbc805673 chassis-server[600]: 014: setTargets(busB, 48.96A, 830.00V, 880.00V-max
Jun 01 04:03:05 pbc805673 chassis-server[600]: 011: setTargets(busB, 47.36A, 830.00V, 880.00V-max
Jun 01 04:03:05 pbc805673 chassis-server[600]: 012: setTargets(busB, 48.96A, 830.00V, 880.00V-max
Jun 01 04:03:05 pbc805673 chassis-server[600]: 015: setTargets(busB, 48.96A, 830.00V, 880.00V-max
Jun 01 04:03:05 pbc805673 chassis-server[600]: 016: setTargets(busB, 45.76A, 830.00V, 880.00V-max
Jun 01 04:03:05 pbc805673 chassis-server[600]: 014: setTargets(busB, 48.96A, 830.00V, 880.00V-max
Jun 01 04:03:05 pbc805673 chassis-server[600]: 011: setTargets(busB, 47.36A, 830.00V, 880.00V-max
Jun 01 04:03:05 pbc805673 chassis-server[600]: 012: setTargets(busB, 48.96A, 830.00V, 880.00V-max
Jun 01 04:03:05 pbc805673 chassis-server[600]: 015: setTargets(busB, 48.96A, 830.00V, 880.00V-max
Jun 01 04:03:05 pbc805673 chassis-server[600]: 016: setTargets(busB, 45.76A, 830.00V, 880.00V-max
Jun 01 04:03:05 pbc805673 chassis-server[600]: 014: setTargets(busB, 48.96A, 830.00V, 880.00V-max
Jun 01 04:03:05 pbc805673 chassis-server[600]: 011: setTargets(busB, 47.36A, 830.00V, 880.00V-max
Jun 01 04:03:05 pbc805673 chassis-server[600]: 012: setTargets(busB, 48.96A, 830.00V, 880.00V-max
Jun 01 04:03:05 pbc805673 chassis-server[600]: 015: setTargets(busB, 48.96A, 830.00V, 880.00V-max
Jun 01 04:03:05 pbc805673 chassis-server[600]: 016: setTargets(busB, 45.76A, 830.00V, 880.00V-max
Jun 01 04:03:05 pbc805673 chassis-server[600]: 014: setTargets(busB, 48.96A, 830.00V, 880.00V-max
Jun 01 04:03:05 pbc805673 chassis-server[600]: 011: setTargets(busB, 47.36A, 830.00V, 880.00V-max
Jun 01 04:03:05 pbc805673 chassis-server[600]: 012: setTargets(busB, 48.96A, 830.00V, 880.00V-max
Jun 01 04:03:05 pbc805673 chassis-server[600]: 015: setTargets(busB, 48.96A, 830.00V, 880.00V-max
Jun 01 04:03:06 pbc805673 chassis-server[600]: modules: present 5, reserved 5, preparing 0, ready 5, active 5
Jun 01 04:03:06 pbc805673 chassis-server[600]: power: maxPower 200.00kW, availablePower 195.00kW, idlePower 0.00kW
Jun 01 04:03:06 pbc805673 chassis-server[600]: busA: allocatedPms 0, healthyPms 0, allocatedPower 0.00kW, availableCurrent 0.00A
Jun 01 04:03:06 pbc805673 chassis-server[600]: busB: allocatedPms 5, healthyPms 5, allocatedPower 195.00kW, availableCurrent 243.50A
Jun 01 04:03:06 pbc805673 pdserver[982]: bus[busB] available current 243.4970245361328A
Jun 01 04:03:06 pbc805673 chassis-server[600]: 016: setTargets(busB, 45.76A, 830.00V, 880.00V-max
Jun 01 04:03:06 pbc805673 chassis-server[600]: 014: setTargets(busB, 48.96A, 830.00V, 880.00V-max
Jun 01 04:03:06 pbc805673 chassis-server[600]: 011: setTargets(busB, 47.36A, 830.00V, 880.00V-max
Jun 01 04:03:06 pbc805673 chassis-server[600]: 012: setTargets(busB, 48.96A, 830.00V, 880.00V-max
Jun 01 04:03:06 pbc805673 chassis-server[600]: 015: setTargets(busB, 48.96A, 830.00V, 880.00V-max
Jun 01 04:03:06 pbc805673 chassis-server[600]: 016: setTargets(busB, 45.76A, 830.00V, 880.00V-max
Jun 01 04:03:06 pbc805673 chassis-server[600]: 014: setTargets(busB, 48.96A, 830.00V, 880.00V-max
Jun 01 04:03:06 pbc805673 chassis-server[600]: 011: setTargets(busB, 47.36A, 830.00V, 880.00V-max
Jun 01 04:03:06 pbc805673 chassis-server[600]: 012: setTargets(busB, 48.96A, 830.00V, 880.00V-max
Jun 01 04:03:06 pbc805673 chassis-server[600]: 015: setTargets(busB, 48.96A, 830.00V, 880.00V-max
Jun 01 04:03:06 pbc805673 chassis-server[600]: 016: setTargets(busB, 45.76A, 830.00V, 880.00V-max
Jun 01 04:03:06 pbc805673 chassis-server[600]: 014: setTargets(busB, 48.96A, 830.00V, 880.00V-max
Jun 01 04:03:06 pbc805673 chassis-server[600]: 011: setTargets(busB, 47.36A, 830.00V, 880.00V-max
Jun 01 04:03:06 pbc805673 chassis-server[600]: 012: setTargets(busB, 48.96A, 830.00V, 880.00V-max
Jun 01 04:03:06 pbc805673 chassis-server[600]: 015: setTargets(busB, 48.96A, 830.00V, 880.00V-max
Jun 01 04:03:06 pbc805673 chassis-server[600]: 016: setTargets(busB, 45.76A, 830.00V, 880.00V-max
Jun 01 04:03:06 pbc805673 chassis-server[600]: 014: setTargets(busB, 48.96A, 830.00V, 880.00V-max
Jun 01 04:03:06 pbc805673 chassis-server[600]: 011: setTargets(busB, 47.36A, 830.00V, 880.00V-max
Jun 01 04:03:06 pbc805673 chassis-server[600]: 012: setTargets(busB, 48.96A, 830.00V, 880.00V-max
Jun 01 04:03:06 pbc805673 chassis-server[600]: 015: setTargets(busB, 48.96A, 830.00V, 880.00V-max
Jun 01 04:03:07 pbc805673 chassis-server[600]: modules: present 5, reserved 5, preparing 0, ready 5, active 5
Jun 01 04:03:07 pbc805673 chassis-server[600]: power: maxPower 200.00kW, availablePower 195.00kW, idlePower 0.00kW
Jun 01 04:03:07 pbc805673 chassis-server[600]: busA: allocatedPms 0, healthyPms 0, allocatedPower 0.00kW, availableCurrent 0.00A
Jun 01 04:03:07 pbc805673 chassis-server[600]: busB: allocatedPms 5, healthyPms 5, allocatedPower 195.00kW, availableCurrent 243.44A
Jun 01 04:03:07 pbc805673 pdserver[982]: bus[busB] available current 243.4375762939453A
Jun 01 04:03:07 pbc805673 chassis-server[600]: 016: setTargets(busB, 45.76A, 830.00V, 880.00V-max
Jun 01 04:03:07 pbc805673 chassis-server[600]: 014: setTargets(busB, 48.96A, 830.00V, 880.00V-max
Jun 01 04:03:07 pbc805673 chassis-server[600]: 011: setTargets(busB, 47.36A, 830.00V, 880.00V-max
Jun 01 04:03:07 pbc805673 chassis-server[600]: 012: setTargets(busB, 48.96A, 830.00V, 880.00V-max
Jun 01 04:03:07 pbc805673 chassis-server[600]: 015: setTargets(busB, 48.96A, 830.00V, 880.00V-max
Jun 01 04:03:07 pbc805673 chassis-server[600]: 016: setTargets(busB, 45.76A, 830.00V, 880.00V-max
Jun 01 04:03:07 pbc805673 chassis-server[600]: 014: setTargets(busB, 48.96A, 830.00V, 880.00V-max
Jun 01 04:03:07 pbc805673 chassis-server[600]: 011: setTargets(busB, 47.36A, 830.00V, 880.00V-max
Jun 01 04:03:07 pbc805673 chassis-server[600]: 012: setTargets(busB, 48.96A, 830.00V, 880.00V-max
Jun 01 04:03:07 pbc805673 chassis-server[600]: 015: setTargets(busB, 48.96A, 830.00V, 880.00V-max
Jun 01 04:03:07 pbc805673 chassis-server[600]: 016: setTargets(busB, 45.76A, 830.00V, 880.00V-max
Jun 01 04:03:07 pbc805673 chassis-server[600]: 014: setTargets(busB, 48.96A, 830.00V, 880.00V-max
Jun 01 04:03:07 pbc805673 chassis-server[600]: 011: setTargets(busB, 47.36A, 830.00V, 880.00V-max
Jun 01 04:03:07 pbc805673 chassis-server[600]: 012: setTargets(busB, 48.96A, 830.00V, 880.00V-max
Jun 01 04:03:07 pbc805673 chassis-server[600]: 015: setTargets(busB, 48.96A, 830.00V, 880.00V-max
Jun 01 04:03:07 pbc805673 chassis-server[600]: 016: setTargets(busB, 45.76A, 830.00V, 880.00V-max
Jun 01 04:03:07 pbc805673 chassis-server[600]: 014: setTargets(busB, 48.96A, 830.00V, 880.00V-max
Jun 01 04:03:07 pbc805673 chassis-server[600]: 011: setTargets(busB, 47.36A, 830.00V, 880.00V-max
Jun 01 04:03:07 pbc805673 chassis-server[600]: 012: setTargets(busB, 48.96A, 830.00V, 880.00V-max
Jun 01 04:03:07 pbc805673 chassis-server[600]: 015: setTargets(busB, 48.96A, 830.00V, 880.00V-max
Jun 01 04:03:08 pbc805673 chassis-server[600]: 016: setTargets(busB, 45.76A, 830.00V, 880.00V-max
Jun 01 04:03:08 pbc805673 chassis-server[600]: 014: setTargets(busB, 48.96A, 830.00V, 880.00V-max
Jun 01 04:03:08 pbc805673 chassis-server[600]: 011: setTargets(busB, 47.36A, 830.00V, 880.00V-max
Jun 01 04:03:08 pbc805673 chassis-server[600]: 012: setTargets(busB, 48.96A, 830.00V, 880.00V-max
Jun 01 04:03:08 pbc805673 chassis-server[600]: 015: setTargets(busB, 48.96A, 830.00V, 880.00V-max
Jun 01 04:03:08 pbc805673 chassis-server[600]: 016: setTargets(busB, 45.76A, 830.00V, 880.00V-max
Jun 01 04:03:08 pbc805673 chassis-server[600]: 014: setTargets(busB, 48.96A, 830.00V, 880.00V-max
Jun 01 04:03:08 pbc805673 chassis-server[600]: 011: setTargets(busB, 47.36A, 830.00V, 880.00V-max
Jun 01 04:03:08 pbc805673 chassis-server[600]: 012: setTargets(busB, 48.96A, 830.00V, 880.00V-max
Jun 01 04:03:08 pbc805673 chassis-server[600]: 015: setTargets(busB, 48.96A, 830.00V, 880.00V-max
Jun 01 04:03:08 pbc805673 chassis-server[600]: 016: setTargets(busB, 45.76A, 830.00V, 880.00V-max
Jun 01 04:03:08 pbc805673 chassis-server[600]: 014: setTargets(busB, 48.96A, 830.00V, 880.00V-max
Jun 01 04:03:08 pbc805673 chassis-server[600]: 011: setTargets(busB, 47.36A, 830.00V, 880.00V-max
Jun 01 04:03:08 pbc805673 chassis-server[600]: 012: setTargets(busB, 48.96A, 830.00V, 880.00V-max
Jun 01 04:03:08 pbc805673 chassis-server[600]: 015: setTargets(busB, 48.96A, 830.00V, 880.00V-max
Jun 01 04:03:08 pbc805673 chassis-server[600]: 016: setTargets(busB, 45.76A, 830.00V, 880.00V-max
Jun 01 04:03:08 pbc805673 chassis-server[600]: 014: setTargets(busB, 48.96A, 830.00V, 880.00V-max
Jun 01 04:03:08 pbc805673 chassis-server[600]: 011: setTargets(busB, 47.36A, 830.00V, 880.00V-max
Jun 01 04:03:08 pbc805673 chassis-server[600]: 012: setTargets(busB, 48.96A, 830.00V, 880.00V-max
Jun 01 04:03:08 pbc805673 chassis-server[600]: 015: setTargets(busB, 48.96A, 830.00V, 880.00V-max
Jun 01 04:03:09 pbc805673 chassis-server[600]: 016: setTargets(busB, 45.76A, 830.00V, 880.00V-max
Jun 01 04:03:09 pbc805673 chassis-server[600]: 014: setTargets(busB, 48.96A, 830.00V, 880.00V-max
Jun 01 04:03:09 pbc805673 chassis-server[600]: 011: setTargets(busB, 47.36A, 830.00V, 880.00V-max
Jun 01 04:03:09 pbc805673 chassis-server[600]: 012: setTargets(busB, 48.96A, 830.00V, 880.00V-max
Jun 01 04:03:09 pbc805673 chassis-server[600]: 015: setTargets(busB, 48.96A, 830.00V, 880.00V-max
Jun 01 04:03:09 pbc805673 chassis-server[600]: 016: setTargets(busB, 45.76A, 830.00V, 880.00V-max
Jun 01 04:03:09 pbc805673 chassis-server[600]: 014: setTargets(busB, 48.96A, 830.00V, 880.00V-max
Jun 01 04:03:09 pbc805673 chassis-server[600]: 011: setTargets(busB, 47.36A, 830.00V, 880.00V-max
Jun 01 04:03:09 pbc805673 chassis-server[600]: 012: setTargets(busB, 48.96A, 830.00V, 880.00V-max
Jun 01 04:03:09 pbc805673 chassis-server[600]: 015: setTargets(busB, 48.96A, 830.00V, 880.00V-max
Jun 01 04:03:09 pbc805673 chassis-server[600]: 016: setTargets(busB, 45.76A, 830.00V, 880.00V-max
Jun 01 04:03:09 pbc805673 chassis-server[600]: 014: setTargets(busB, 48.96A, 830.00V, 880.00V-max
Jun 01 04:03:09 pbc805673 chassis-server[600]: 011: setTargets(busB, 47.36A, 830.00V, 880.00V-max
Jun 01 04:03:09 pbc805673 chassis-server[600]: 012: setTargets(busB, 48.96A, 830.00V, 880.00V-max
Jun 01 04:03:09 pbc805673 chassis-server[600]: 015: setTargets(busB, 48.96A, 830.00V, 880.00V-max
Jun 01 04:03:09 pbc805673 chassis-server[600]: 016: setTargets(busB, 45.76A, 830.00V, 880.00V-max
Jun 01 04:03:09 pbc805673 chassis-server[600]: 014: setTargets(busB, 48.96A, 830.00V, 880.00V-max
Jun 01 04:03:09 pbc805673 chassis-server[600]: 011: setTargets(busB, 47.36A, 830.00V, 880.00V-max
Jun 01 04:03:09 pbc805673 chassis-server[600]: 012: setTargets(busB, 48.96A, 830.00V, 880.00V-max
Jun 01 04:03:09 pbc805673 chassis-server[600]: 015: setTargets(busB, 48.96A, 830.00V, 880.00V-max
Jun 01 04:03:10 pbc805673 chassis-server[600]: modules: present 5, reserved 5, preparing 0, ready 5, active 5
Jun 01 04:03:10 pbc805673 chassis-server[600]: power: maxPower 200.00kW, availablePower 195.00kW, idlePower 0.00kW
Jun 01 04:03:10 pbc805673 chassis-server[600]: busA: allocatedPms 0, healthyPms 0, allocatedPower 0.00kW, availableCurrent 0.00A
Jun 01 04:03:10 pbc805673 chassis-server[600]: busB: allocatedPms 5, healthyPms 5, allocatedPower 195.00kW, availableCurrent 243.50A
Jun 01 04:03:10 pbc805673 pdserver[982]: bus[busB] available current 243.4970245361328A
Jun 01 04:03:10 pbc805673 chassis-server[600]: 016: setTargets(busB, 45.76A, 830.00V, 880.00V-max
Jun 01 04:03:10 pbc805673 chassis-server[600]: 014: setTargets(busB, 48.96A, 830.00V, 880.00V-max
Jun 01 04:03:10 pbc805673 chassis-server[600]: 011: setTargets(busB, 47.36A, 830.00V, 880.00V-max
Jun 01 04:03:10 pbc805673 chassis-server[600]: 012: setTargets(busB, 48.96A, 830.00V, 880.00V-max
Jun 01 04:03:10 pbc805673 chassis-server[600]: 015: setTargets(busB, 48.96A, 830.00V, 880.00V-max
Jun 01 04:03:10 pbc805673 chassis-server[600]: 016: setTargets(busB, 45.76A, 830.00V, 880.00V-max
Jun 01 04:03:10 pbc805673 chassis-server[600]: 014: setTargets(busB, 48.96A, 830.00V, 880.00V-max
Jun 01 04:03:10 pbc805673 chassis-server[600]: 011: setTargets(busB, 47.36A, 830.00V, 880.00V-max
Jun 01 04:03:10 pbc805673 chassis-server[600]: 012: setTargets(busB, 48.96A, 830.00V, 880.00V-max
Jun 01 04:03:10 pbc805673 chassis-server[600]: 015: setTargets(busB, 48.96A, 830.00V, 880.00V-max
Jun 01 04:03:10 pbc805673 chassis-server[600]: 016: setTargets(busB, 45.76A, 830.00V, 880.00V-max
Jun 01 04:03:10 pbc805673 chassis-server[600]: 014: setTargets(busB, 48.96A, 830.00V, 880.00V-max
Jun 01 04:03:10 pbc805673 chassis-server[600]: 011: setTargets(busB, 47.36A, 830.00V, 880.00V-max
Jun 01 04:03:10 pbc805673 chassis-server[600]: 012: setTargets(busB, 48.96A, 830.00V, 880.00V-max
Jun 01 04:03:10 pbc805673 chassis-server[600]: 015: setTargets(busB, 48.96A, 830.00V, 880.00V-max
Jun 01 04:03:10 pbc805673 chassis-server[600]: 016: setTargets(busB, 45.76A, 830.00V, 880.00V-max
Jun 01 04:03:10 pbc805673 chassis-server[600]: 014: setTargets(busB, 48.96A, 830.00V, 880.00V-max
Jun 01 04:03:10 pbc805673 chassis-server[600]: 011: setTargets(busB, 47.36A, 830.00V, 880.00V-max
Jun 01 04:03:10 pbc805673 chassis-server[600]: 012: setTargets(busB, 48.96A, 830.00V, 880.00V-max
Jun 01 04:03:10 pbc805673 chassis-server[600]: 015: setTargets(busB, 48.96A, 830.00V, 880.00V-max
Jun 01 04:03:11 pbc805673 chassis-server[600]: modules: present 5, reserved 5, preparing 0, ready 5, active 5
Jun 01 04:03:11 pbc805673 chassis-server[600]: power: maxPower 200.00kW, availablePower 195.00kW, idlePower 0.00kW
Jun 01 04:03:11 pbc805673 chassis-server[600]: busA: allocatedPms 0, healthyPms 0, allocatedPower 0.00kW, availableCurrent 0.00A
Jun 01 04:03:11 pbc805673 chassis-server[600]: busB: allocatedPms 5, healthyPms 5, allocatedPower 195.00kW, availableCurrent 243.44A
Jun 01 04:03:11 pbc805673 pdserver[982]: bus[busB] available current 243.4375762939453A
Jun 01 04:03:11 pbc805673 chassis-server[600]: 016: setTargets(busB, 45.76A, 830.00V, 880.00V-max
Jun 01 04:03:11 pbc805673 chassis-server[600]: 014: setTargets(busB, 48.96A, 830.00V, 880.00V-max
Jun 01 04:03:11 pbc805673 chassis-server[600]: 011: setTargets(busB, 47.36A, 830.00V, 880.00V-max
Jun 01 04:03:11 pbc805673 chassis-server[600]: 012: setTargets(busB, 48.96A, 830.00V, 880.00V-max
Jun 01 04:03:11 pbc805673 chassis-server[600]: 015: setTargets(busB, 48.96A, 830.00V, 880.00V-max
Jun 01 04:03:11 pbc805673 chassis-server[600]: 016: setTargets(busB, 45.76A, 830.00V, 880.00V-max
Jun 01 04:03:11 pbc805673 chassis-server[600]: 014: setTargets(busB, 48.96A, 830.00V, 880.00V-max
Jun 01 04:03:11 pbc805673 chassis-server[600]: 011: setTargets(busB, 47.36A, 830.00V, 880.00V-max
Jun 01 04:03:11 pbc805673 chassis-server[600]: 012: setTargets(busB, 48.96A, 830.00V, 880.00V-max
Jun 01 04:03:11 pbc805673 chassis-server[600]: 015: setTargets(busB, 48.96A, 830.00V, 880.00V-max
Jun 01 04:03:11 pbc805673 chassis-server[600]: 016: setTargets(busB, 45.76A, 830.00V, 880.00V-max
Jun 01 04:03:11 pbc805673 chassis-server[600]: 014: setTargets(busB, 48.96A, 830.00V, 880.00V-max
Jun 01 04:03:11 pbc805673 chassis-server[600]: 011: setTargets(busB, 47.36A, 830.00V, 880.00V-max
Jun 01 04:03:11 pbc805673 chassis-server[600]: 012: setTargets(busB, 48.96A, 830.00V, 880.00V-max
Jun 01 04:03:11 pbc805673 chassis-server[600]: 015: setTargets(busB, 48.96A, 830.00V, 880.00V-max
Jun 01 04:03:11 pbc805673 chassis-server[600]: 016: setTargets(busB, 45.76A, 830.00V, 880.00V-max
Jun 01 04:03:11 pbc805673 chassis-server[600]: 014: setTargets(busB, 48.96A, 830.00V, 880.00V-max
Jun 01 04:03:11 pbc805673 chassis-server[600]: 011: setTargets(busB, 47.36A, 830.00V, 880.00V-max
Jun 01 04:03:11 pbc805673 chassis-server[600]: 012: setTargets(busB, 48.96A, 830.00V, 880.00V-max
Jun 01 04:03:11 pbc805673 chassis-server[600]: 015: setTargets(busB, 48.96A, 830.00V, 880.00V-max
Jun 01 04:03:12 pbc805673 chassis-server[600]: modules: present 5, reserved 5, preparing 0, ready 5, active 5
Jun 01 04:03:12 pbc805673 chassis-server[600]: power: maxPower 200.00kW, availablePower 195.00kW, idlePower 0.00kW
Jun 01 04:03:12 pbc805673 chassis-server[600]: busA: allocatedPms 0, healthyPms 0, allocatedPower 0.00kW, availableCurrent 0.00A
Jun 01 04:03:12 pbc805673 chassis-server[600]: busB: allocatedPms 5, healthyPms 5, allocatedPower 195.00kW, availableCurrent 243.38A
Jun 01 04:03:12 pbc805673 pdserver[982]: bus[busB] available current 243.37531280517578A
Jun 01 04:03:12 pbc805673 chassis-server[600]: 016: setTargets(busB, 45.76A, 830.00V, 880.00V-max
Jun 01 04:03:12 pbc805673 chassis-server[600]: 014: setTargets(busB, 48.96A, 830.00V, 880.00V-max
Jun 01 04:03:12 pbc805673 chassis-server[600]: 011: setTargets(busB, 47.36A, 830.00V, 880.00V-max
Jun 01 04:03:12 pbc805673 chassis-server[600]: 012: setTargets(busB, 48.96A, 830.00V, 880.00V-max
Jun 01 04:03:12 pbc805673 chassis-server[600]: 015: setTargets(busB, 48.96A, 830.00V, 880.00V-max
Jun 01 04:03:12 pbc805673 chassis-server[600]: 016: setTargets(busB, 45.76A, 830.00V, 880.00V-max
Jun 01 04:03:12 pbc805673 chassis-server[600]: 014: setTargets(busB, 48.96A, 830.00V, 880.00V-max
Jun 01 04:03:12 pbc805673 chassis-server[600]: 011: setTargets(busB, 47.36A, 830.00V, 880.00V-max
Jun 01 04:03:12 pbc805673 chassis-server[600]: 012: setTargets(busB, 48.96A, 830.00V, 880.00V-max
Jun 01 04:03:12 pbc805673 chassis-server[600]: 015: setTargets(busB, 48.96A, 830.00V, 880.00V-max
Jun 01 04:03:12 pbc805673 chassis-server[600]: 016: setTargets(busB, 45.76A, 830.00V, 880.00V-max
Jun 01 04:03:12 pbc805673 chassis-server[600]: 014: setTargets(busB, 48.96A, 830.00V, 880.00V-max
Jun 01 04:03:12 pbc805673 chassis-server[600]: 011: setTargets(busB, 47.36A, 830.00V, 880.00V-max
Jun 01 04:03:12 pbc805673 chassis-server[600]: 012: setTargets(busB, 48.96A, 830.00V, 880.00V-max
Jun 01 04:03:12 pbc805673 chassis-server[600]: 015: setTargets(busB, 48.96A, 830.00V, 880.00V-max
Jun 01 04:03:13 pbc805673 chassis-server[600]: 016: setTargets(busB, 45.76A, 830.00V, 880.00V-max
Jun 01 04:03:13 pbc805673 chassis-server[600]: 014: setTargets(busB, 48.96A, 830.00V, 880.00V-max
Jun 01 04:03:13 pbc805673 chassis-server[600]: 011: setTargets(busB, 47.36A, 830.00V, 880.00V-max
Jun 01 04:03:13 pbc805673 chassis-server[600]: 012: setTargets(busB, 48.96A, 830.00V, 880.00V-max
Jun 01 04:03:13 pbc805673 chassis-server[600]: 015: setTargets(busB, 48.96A, 830.00V, 880.00V-max
Jun 01 04:03:13 pbc805673 chassis-server[600]: modules: present 5, reserved 5, preparing 0, ready 5, active 5
Jun 01 04:03:13 pbc805673 chassis-server[600]: power: maxPower 200.00kW, availablePower 195.00kW, idlePower 0.00kW
Jun 01 04:03:13 pbc805673 chassis-server[600]: busA: allocatedPms 0, healthyPms 0, allocatedPower 0.00kW, availableCurrent 0.00A
Jun 01 04:03:13 pbc805673 chassis-server[600]: busB: allocatedPms 5, healthyPms 5, allocatedPower 195.00kW, availableCurrent 243.44A
Jun 01 04:03:13 pbc805673 pdserver[982]: bus[busB] available current 243.4375762939453A
